method,method_label,point_index,wall_s,n_exact_eval,best_fitness
ga_gnn_policy,GA + GNN + policy seeding,38,3.295687,323,49.681775
ga_gnn_policy,GA + GNN + policy seeding,39,3.383555,332,49.681775
ga_gnn_policy,GA + GNN + policy seeding,40,3.472099,341,49.681775
ga_gnn_policy,GA + GNN + policy seeding,41,3.555252,350,49.681775
ga_gnn_policy,GA + GNN + policy seeding,42,3.640219,359,49.681775
ga_gnn_policy,GA + GNN + policy seeding,43,3.765569,368,49.681775
ga_gnn_policy,GA + GNN + policy seeding,44,3.879270,377,49.681775
ga_gnn_policy,GA + GNN + policy seeding,45,3.968494,386,49.681775
ga_gnn_policy,GA + GNN + policy seeding,46,4.067639,395,49.681775
ga_gnn_policy,GA + GNN + policy seeding,47,4.186817,403,49.681775
ga_gnn_policy,GA + GNN + policy seeding,48,4.282105,412,49.681775
ga_gnn_policy,GA + GNN + policy seeding,49,4.366151,421,49.681775
ga_gnn_policy,GA + GNN + policy seeding,50,4.451066,430,49.681775
ga_gnn_policy,GA + GNN + policy seeding,51,4.536812,439,49.681775
ga_gnn_policy,GA + GNN + policy seeding,52,4.621077,448,49.681775
ga_gnn_policy,GA + GNN + policy seeding,53,4.705764,457,49.681775
ga_gnn_policy,GA + GNN + policy seeding,54,4.794626,466,49.681775
ga_gnn_policy,GA + GNN + policy seeding,55,4.882110,475,49.681775
ga_gnn_policy,GA + GNN + policy seeding,56,4.969214,484,49.681775
ga_gnn_policy,GA + GNN + policy seeding,57,5.070035,493,49.681775
ga_gnn_policy,GA + GNN + policy seeding,58,6.704116,625,49.695191
